ID,BASE,DESI_ARTI
83974,webpdrmif,ACCOUPLEMENT
83975,webpdrmif,ACCOUPLEMENT
84378,webpdrmif,ACCOUPLEMENT
84381,webpdrmif,ACCOUPLEMENT
87940,webpdrmif,ACCOUPLEMENT
88879,webpdrmif,Accouplement
90658,webpdrmif,ACCOUPLEMENT
90883,webpdrmif,ACCOUPLEMENT
94660,webpdrmif,Accouplement
95435,webpdrmif,ACCOUPLEMENT
95443,webpdrmif,ACCOUPLEMENT
96229,webpdrmif,ACCOUPLEMENT
97069,webpdrmif,ACCOUPLEMENT
98689,webpdrmif,Accouplement
100082,webpdrmif,ACCOUPLEMENT
100131,webpdrmif,ACCOUPLEMENT
101116,webpdrmif,ACCOUPLEMENT
102948,webpdrmif,ACCOUPLEMENT
103464,webpdrmif,ACCOUPLEMENT
104428,webpdrmif,ACCOUPLEMENT
10654,webpdrmif,ACCOUPLEMENT 
84297,webpdrmif,ACCOUPLEMENT 
87840,webpdrmif,ACCOUPLEMENT 
98529,webpdrmif,ACCOUPLEMENT 
98537,webpdrmif,ACCOUPLEMENT 
98559,webpdrmif,ACCOUPLEMENT 
10652,webpdrmif,ACCOUPLEMENT  
97531,webpdrmif,ACCOUPLEMENT                                      
97588,webpdrmif,ACCOUPLEMENT                                      
97979,webpdrmif,ACCOUPLEMENT                                      
105268,webpdrmif,ACCOUPLEMENT     FLEXMASTER
105269,webpdrmif,ACCOUPLEMENT     FLEXMASTER
105271,webpdrmif,ACCOUPLEMENT     FLEXMASTER
94078,webpdrmif,accouplement    292445
105223,webpdrmif,ACCOUPLEMENT    ELASTIQUE
105272,webpdrmif,ACCOUPLEMENT    VICTAULIC
64994,webpdrmif,ACCOUPLEMENT   C  73
13806,webpdrmif,ACCOUPLEMENT  /D-A3/ POS 28
14309,webpdrmif,ACCOUPLEMENT  /D-A4/  POS 28
31964,webpdrmif,ACCOUPLEMENT  A24/32
3496,webpdrmif,ACCOUPLEMENT  D=8
73966,webpdrmif,ACCOUPLEMENT  HYDROLIQUE POUR CITERNE
93709,webpdrmif,ACCOUPLEMENT  NON 
105279,webpdrmif,ACCOUPLEMENT  PARTIE 1
46029,webpdrmif,Accouplement (Ø 48)
46030,webpdrmif,Accouplement (Ø 55)
39949,webpdrmif,ACCOUPLEMENT /P
14112,webpdrmif,ACCOUPLEMENT /VISSEUSE ECROU
6735,webpdrmif,accouplement =1613688500
10142,webpdrmif,ACCOUPLEMENT 1/2 HC302 AB
73143,webpdrmif,ACCOUPLEMENT 103
68525,webpdrmif,ACCOUPLEMENT 128
101637,webpdrmif,Accouplement 3*4*8H/4465
8320,webpdrmif,ACCOUPLEMENT 3X4X8 H
61466,webpdrmif,Accouplement 3x4x8H
61468,webpdrmif,Accouplement 3x4x8H
63829,webpdrmif,ACCOUPLEMENT 4 X 6 X 8 H
101636,webpdrmif,Accouplement 4*6*8H/4463
99464,webpdrmif,ACCOUPLEMENT 4X6X8
8327,webpdrmif,ACCOUPLEMENT 4X6X8 H
8334,webpdrmif,ACCOUPLEMENT 4X6X8 L
61471,webpdrmif,Accouplement 4x6x8H
84410,webpdrmif,ACCOUPLEMENT 4X6X8H
63827,webpdrmif,ACCOUPLEMENT 8 X 8 X 9 H
60730,webpdrmif,Accouplement 8x8x9H
61472,webpdrmif,Accouplement 8x8x9H
61473,webpdrmif,Accouplement 8x8x9H
84415,webpdrmif,ACCOUPLEMENT 8X8X9H
21327,webpdrmif,ACCOUPLEMENT A 42
42856,webpdrmif,"Accouplement a chaine 3/4"""
