CODE_PRODUIT,ID,
MEDA00126,49133,gpairo
MEDA00126,51514,gpairo
MEDA00126,65674,gpairo
MEDA00126,70660,gpairo
MEDA00126,77853,gpairo
MEDA00126,94203,gpairo
MEDA00126,52089,gpairo
MEDA00126,56410,gpairo
MEDA00126,14318,gpairo
MEDA00126,7680,gpairo
MEDA00126,23058,gpairo
MEDA00126,14319,gpairo
MEDA00126,45051,gpairo
MEDA00126,46005,gpairo
MEDA00126,44125,gpairo
MEDA00126,47529,gpairo
MEDA00126,47543,gpairo
MEDA00126,11638,gpairo
MEDA00126,63510,gpairo
MEDA00126,14895,gpairo
MEDA00126,14944,gpairo
MEDA00126,15108,gpairo
MEDA00126,15179,gpairo
MEDA00126,15208,gpairo
MEDA00126,50170,gpairo
MEDA00126,78985,gpairo
MEDA00126,92829,gpairo
MEDA00126,95593,gpairo
MEDA00126,34692,gpairo
MEDA00126,63165,gpairo
MEDA00126,64261,gpairo
MEDA00126,59852,gpairo
MEDA00126,66380,gpairo
MEDA00126,69835,gpairo
MEDA00126,73826,gpairo
MEDA00126,75043,gpairo
MEDA00126,75051,gpairo
MEDA00126,85251,gpairo
MEDA00126,90023,gpairo
MEDA00126,58646,gpairo
MEDA00126,3884,gpairo
MEDA00126,3886,gpairo
MEDA00126,20689,gpairo
MEDA00126,80344,gpairo
MEDA00125,315,gpairo
MEDA00125,14265,gpairo
MEDA00125,14990,gpairo
MEDA00125,16018,gpairo
MEDA00125,16355,gpairo
MEDA00125,17254,gpairo
MEDA00125,29391,gpairo
MEDA00125,29515,gpairo
MEDA00125,31174,gpairo
MEDA00125,34587,gpairo
MEDA00125,35909,gpairo
MEDA00125,38962,gpairo
MEDA00125,63694,gpairo
MEDA00125,65437,gpairo
MEDA00125,66273,gpairo
MEDA00125,74212,gpairo
MEDA00125,74220,gpairo
MEDA00125,77738,gpairo
MEDA00125,78855,gpairo
MEDA00125,84403,gpairo
MEDA00125,85101,gpairo
MEDA00125,93541,gpairo
MEDA00125,75286,gpairo
MEDA00125,75294,gpairo
MEDA00125,90689,gpairo
MEDA00125,93424,gpairo
MEDA00125,56409,gpairo
MEDA00125,77319,gpairo
MEDA00125,65673,gpairo
MEDA00125,23059,gpairo
MEDA00125,14272,gpairo
MEDA00125,73820,gpairo
MEDA00125,68951,gpairo
MEDA00125,14883,gpairo
MEDA00125,64184,gpairo
MEDA00125,68950,gpairo
MEDA00125,10792,gpairo
MEDA00125,14271,gpairo
MEDA00125,14882,gpairo
MEDA00125,46004,gpairo
MEDA00125,51771,gpairo
MEDA00125,85559,gpairo
MEDA00125,9785,gpairo
MEDA00125,63505,gpairo
MEDA00125,8981,gpairo
MEDA00125,94185,gpairo
MEDA00125,5608,gpairo
MEDA00125,9914,gpairo
MEDA00125,14945,gpairo
MEDA00125,14953,gpairo
MEDA00125,15180,gpairo
MEDA00125,15207,gpairo
MEDA00125,15214,gpairo
MEDA00125,15709,gpairo
MEDA00125,39027,gpairo
MEDA00125,39563,gpairo
MEDA00125,45463,gpairo
MEDA00125,47244,gpairo
MEDA00125,52748,gpairo
MEDA00125,58639,gpairo
MEDA00125,63615,gpairo
MEDA00125,64260,gpairo
MEDA00125,70316,gpairo
MEDA00125,73831,gpairo
MEDA00125,93756,gpairo
MEDA00125,94224,gpairo
MEDA00125,94229,gpairo
MEDA00125,39246,gpairo
MEDA00125,69834,gpairo
MEDA00125,67616,gpairo
MEDA00125,80343,gpairo
MEDA00125,2608,gpairo
MEDA00125,40551,gpairo
MEDA00125,47723,gpairo
MEDA00125,2607,gpairo
MEDA00125,42442,gpairo
MEDA00125,55161,gpairo
MEDA00126,67950,gpairo
MEDA00125,67951,gpairo
MEDA00128,53199,gpairo
MEDA00128,69936,gpairo
MEDA00128,77609,gpairo
MEDA00128,82436,gpairo
MEDA00129,91306,gpairo
MEDA00129,91303,gpairo
MEDA00130,91305,gpairo
MEDA00129,38922,gpairo
MEDA00129,39616,gpairo
MEDA00129,45557,gpairo
MEDA00129,45558,gpairo
MEDA00129,42183,gpairo
MEDA00129,16425,gpairo
MEDA00129,74780,gpairo
MEDA00129,94464,gpairo
MEDA00129,80182,gpairo
MEDA00129,94465,gpairo
MEDA00129,64178,gpairo
MEDA00129,93895,gpairo
MEDA00129,89308,gpairo
MEDA00130,45551,gpairo
MEDA00130,84494,gpairo
MEDA00130,94654,gpairo
MEDA00130,85553,gpairo
MEDA00130,89307,gpairo
MEDA00128,55762,gpairo
MEDA00128,55763,gpairo
MEDA00128,68422,gpairo
MEDA00128,68445,gpairo
MEDA00129,81941,gpairo
MEDA00130,81933,gpairo
MEDA00131,69592,gpairo
MEDA00131,94054,gpairo
MEDA00131,95629,gpairo
MEDA00132,91382,gpairo
MEDA00133,32146,gpairo
MEDA00134,91247,gpairo
MEDA00135,91246,gpairo
MEDA00136,81935,gpairo
MEDA00121,40823,gpairo
MEDA00121,34743,gpairo
MEDA00128,6199,gpairo
MEDA00129,75458,gpairo
MEDA00137,97232,gpairo
MEDA00138,95133,gpairo
MEDA00139,76267,gpairo
MEDA00140,69480,gpairo
MEDA00140,80556,gpairo
MEDA00141,45545,gpairo
MEDA00141,50279,gpairo
MEDA00141,14485,gpairo
MEDA00142,85259,gpairo
MEDA00143,78526,gpairo
MEDA00125,42441,gpairo
MEDA00144,78527,gpairo
MEDA00121,14264,gpairo
MEDA00121,14317,gpairo
MEDA00121,47667,gpairo
MEDA00121,81962,gpairo
MEDA00145,77072,gpairo
MEDA00143,71015,gpairo
MEDA00146,12196,gpairo
MEDA00147,91822,gpairo
MEDA00125,64186,gpairo
MEDA00148,34645,gpairo
MEDA00148,43062,gpairo
MEDA00148,45069,gpairo
MEDA00148,94482,gpairo
MEDA00121,5743,gpairo
MEDA00121,12155,gpairo
MEDA00121,49815,gpairo
MEDA00125,47472,gpairo
MEDA00125,48315,gpairo
MEDA00121,10428,gpairo
MEDA00121,15710,gpairo
MEDA00121,97334,gpairo
MEDA00121,14263,gpairo
MEDA00121,84867,gpairo
MEDA00126,34588,gpairo
